4.62E-03,1.60E-01,2.14E-03,0.16666
4.54E-03,1.60E-01,2.08E-03,0.166215
4.46E-03,1.59E-01,2.02E-03,0.165774
4.38E-03,1.59E-01,1.96E-03,0.165238
4.30E-03,1.59E-01,1.90E-03,0.164806
4.23E-03,1.58E-01,1.85E-03,0.164378
4.16E-03,1.58E-01,1.80E-03,0.163955
4.09E-03,1.58E-01,1.74E-03,0.163435
4.02E-03,1.57E-01,1.70E-03,0.163018
3.96E-03,1.57E-01,1.65E-03,0.162605
3.89E-03,1.57E-01,1.60E-03,0.162194
3.83E-03,1.56E-01,1.56E-03,0.161788
3.77E-03,1.56E-01,1.52E-03,0.161384
3.71E-03,1.56E-01,1.48E-03,0.160983
3.65E-03,1.55E-01,1.44E-03,0.160486
3.59E-03,1.55E-01,1.40E-03,0.16009
3.54E-03,1.55E-01,1.36E-03,0.159699
3.48E-03,1.55E-01,1.33E-03,0.159308
3.43E-03,1.54E-01,1.29E-03,0.158921
3.38E-03,1.54E-01,1.26E-03,0.158535
3.33E-03,1.54E-01,1.23E-03,0.158152
3.28E-03,1.53E-01,1.20E-03,0.157772
3.23E-03,1.53E-01,1.17E-03,0.157393
3.18E-03,1.53E-01,1.14E-03,0.157016
3.13E-03,1.52E-01,1.11E-03,0.156642
3.09E-03,1.52E-01,1.08E-03,0.156269
3.04E-03,1.52E-01,1.06E-03,0.155898
3.00E-03,1.52E-01,1.03E-03,0.15563
2.96E-03,1.51E-01,1.01E-03,0.155262
2.91E-03,1.51E-01,9.82E-04,0.1548963
2.87E-03,1.51E-01,9.59E-04,0.1545322
2.83E-03,1.50E-01,9.37E-04,0.1541699
2.79E-03,1.50E-01,9.15E-04,0.1538092
2.76E-03,1.50E-01,8.94E-04,0.1534491
2.72E-03,1.50E-01,8.74E-04,0.1531917
2.68E-03,1.49E-01,8.54E-04,0.152835
2.65E-03,1.49E-01,8.35E-04,0.1524798
2.61E-03,1.49E-01,8.16E-04,0.1521251
2.57E-03,1.48E-01,7.98E-04,0.151772
2.54E-03,1.48E-01,7.81E-04,0.1515205
2.51E-03,1.48E-01,7.63E-04,0.1511704
2.47E-03,1.48E-01,7.47E-04,0.1508209
2.44E-03,1.47E-01,7.31E-04,0.1505728
2.41E-03,1.47E-01,7.15E-04,0.1502251
2.38E-03,1.47E-01,7.00E-04,0.1498799
2.35E-03,1.47E-01,6.85E-04,0.1495341
2.32E-03,1.46E-01,6.71E-04,0.1492898
2.29E-03,1.46E-01,6.57E-04,0.1489468
2.26E-03,1.46E-01,6.43E-04,0.1487052
2.23E-03,1.46E-01,6.30E-04,0.148364
2.21E-03,1.45E-01,6.17E-04,0.1480231
2.18E-03,1.45E-01,6.05E-04,0.1477836
2.15E-03,1.45E-01,5.92E-04,0.1474444
2.13E-03,1.45E-01,5.81E-04,0.1472066
2.10E-03,1.44E-01,5.69E-04,0.146869
2.08E-03,1.44E-01,5.58E-04,0.1465328
2.05E-03,1.44E-01,5.47E-04,0.1462978
2.03E-03,1.43E-01,5.36E-04,0.1459622
2.00E-03,1.43E-01,5.26E-04,0.1457278
1.98E-03,1.43E-01,5.16E-04,0.1453946
1.96E-03,1.43E-01,5.06E-04,0.1451618
1.93E-03,1.42E-01,4.96E-04,0.1448292
1.91E-03,1.42E-01,4.87E-04,0.1445978
1.89E-03,1.42E-01,4.78E-04,0.1443666
1.87E-03,1.42E-01,4.69E-04,0.1440357
1.85E-03,1.42E-01,4.60E-04,0.143806
1.83E-03,1.41E-01,4.52E-04,0.1434775
1.81E-03,1.41E-01,4.43E-04,0.1432483
1.79E-03,1.41E-01,4.35E-04,0.1430202
1.77E-03,1.41E-01,4.27E-04,0.1426923
1.75E-03,1.40E-01,4.20E-04,0.1424656
1.73E-03,1.40E-01,4.12E-04,0.1421391
1.71E-03,1.40E-01,4.05E-04,0.1419128
1.69E-03,1.40E-01,3.98E-04,0.1416866
1.67E-03,1.39E-01,3.91E-04,0.1413616
1.65E-03,1.39E-01,3.84E-04,0.1411368
1.64E-03,1.39E-01,3.77E-04,0.1409121
1.62E-03,1.39E-01,3.71E-04,0.1406886
1.60E-03,1.38E-01,3.64E-04,0.1403653
1.58E-03,1.38E-01,3.58E-04,0.140142
1.57E-03,1.38E-01,3.52E-04,0.13992
1.55E-03,1.38E-01,3.46E-04,0.139597
1.54E-03,1.38E-01,3.40E-04,0.1393752
1.52E-03,1.37E-01,3.35E-04,0.1391545
1.50E-03,1.37E-01,3.29E-04,0.138933
1.49E-03,1.37E-01,3.24E-04,0.1387126
1.47E-03,1.37E-01,3.18E-04,0.1383922
1.46E-03,1.36E-01,3.13E-04,0.1381721
1.44E-03,1.36E-01,3.08E-04,0.137952
1.43E-03,1.36E-01,3.03E-04,0.137733
1.42E-03,1.36E-01,2.98E-04,0.1375131
1.40E-03,1.36E-01,2.93E-04,0.1372944
1.39E-03,1.35E-01,2.89E-04,0.1369767
